SNR (Input),NLMS Avg Time (ms),CNN Avg Time (ms),NLMS Total Time (s),CNN Total Time (s),Speedup Factor
0,2.2970688815703233,0.9565039851124013,50.33238768577576,22.832123517990112,2.204454949015906
5,2.4730922447008035,0.9417993787566509,54.18285393714905,22.420671701431274,2.4166472199711198
10,2.461443822126425,0.9506063271370401,53.928598165512085,22.65076971054077,2.380872652659386
15,2.549118889373551,0.9840215753206447,55.85408687591553,23.420642852783203,2.384822962674489
20,2.474658965803077,0.9375048167261631,54.218135356903076,22.342937469482422,2.4266341626278134
