SNR (Input),SNR (NLMS),SNR (CNN),MSE (NLMS),MSE (CNN)
0,1.101212175762973,1.3055711,0.17547722516898034,0.16741134
5,1.4193986651783799,6.512819,0.1630805280761901,0.050473113
10,1.5668393487672145,11.542601,0.15763695623854498,0.015851922
15,1.6227951205419642,13.970959,0.15561894380445032,0.00906246
20,1.6425411580186844,14.88317,0.1549129982881369,0.00734556
